"filename", "language", "TypeScript", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "XML", "YAML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\PaymentSuccess\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\SearchInput\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\SolutionSelectionBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 14, 117
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\TagInput\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 7, 83
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\UsageDonutChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\WidgetCanvas\TelemetryWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 9, 27, 321
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\WidgetCanvas\TelemetryWidgetSettings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 2, 15, 188
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\WidgetCanvas\WidgetCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 280, 0, 0, 8, 20, 308
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\common\WidgetCanvas\index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\forms\FormDatePicker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 2, 82
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\forms\FormField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 53
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\forms\FormSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 2, 65
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\forms\FormTextarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 53
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\layout\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 5, 42
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\layout\Breadcrumbs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 9, 59
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 456, 0, 0, 17, 17, 490
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 528, 0, 0, 13, 24, 565
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\models\DeleteRoleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 4, 7, 132
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\models\DeleteUserModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 5, 8, 121
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\DashboardNavigation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\LanguageSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 3, 13, 153
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\ThemeSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 1, 4, 33
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 1, 32, 252
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 5, 64
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 7, 59
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 1, 8, 98
"c:\usman\projects\iot-platform-frontend\iot-platform-frontend\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 3, 63
